,name,product
10009,原萃日式綠茶,即飲無糖茶
10010, 原萃綠茶玉露愛買,即飲無糖茶
10011,御茶園每朝健康綠茶,即飲無糖茶
10012,c 原萃日式綠茶,即飲無糖茶
10013,原萃冷萃日式深蒸綠茶,即飲無糖茶
10014,原萃日式綠茶,即飲無糖茶
10015,御茶園每朝健康綠茶,即飲無糖茶
10016,每朝健康纖綠茶,即飲無糖茶
10017,原萃綠茶,即飲無糖茶
10018,原萃冷萃茶 金萱烏龍深蒸綠茶,即飲無糖茶
10019,原萃日式綠茶,即飲無糖茶
10020,原萃冷萃 深蒸綠茶,即飲無糖茶
10021,每朝健康綠茶,即飲無糖茶
10022,原萃日式綠茶pet,即飲無糖茶
10023,原萃玉露綠茶,即飲無糖茶
10024,網原萃日式綠茶,即飲無糖茶
10025,s買原萃綠茶玉露入り,即飲無糖茶
10026,原萃冷萃深蒸綠茶,即飲無糖茶
10027,原萃日式綠茶,即飲無糖茶
16216,hallmark怪獸派對 自然之萃2in1洗髮沐浴溫和呵護泡泡露 寶寶 洗髮 沐浴 二合一,沐浴乳
16217,博寶兒植萃洗髮沐浴露,沐浴乳
16218,小飛象舒敏雙效洗髮沐浴露,沐浴乳
16219,burt s bees 蜜蜂爺爺 寶貝嬰兒洗髮沐浴露   家庭號 新包裝 美國原廠 彤彤小舖,沐浴乳
16220, chicco寶貝嬰兒洗髮沐浴露溫和不流淚配方,沐浴乳
16221,chicco原生脂嬰洗髮沐浴露,沐浴乳
16222,好5嬰兒沐浴洗髮,沐浴乳
16223,博寶兒植萃洗髮沐浴露 柚果,沐浴乳
16224,貝恩清新雙效洗髮沐浴乳,沐浴乳
16225,baan清新雙效洗髮沐浴乳2in1,沐浴乳
16226,淨毒五郎益菌生嬰兒洗髮沐浴慕斯,沐浴乳
16227,nac nac薰衣草洗髮沐浴精,沐浴乳
16228,樂米亞嬰幼兒2合1洗髮沐浴露,沐浴乳
16229,chicco寶貝嬰兒洗髮沐浴,沐浴乳
16230,嬌生嬰兒洗髮沐浴露,沐浴乳
16231,博寶兒植萃洗髮沐浴露柚果香氛,沐浴乳
16232,嬌生嬰兒洗髮沐浴露,沐浴乳
16233,貝恩baan嬰兒洗沐組洗髮沐浴,沐浴乳
16234,博寶兒植萃洗髮沐浴露二合一 佩佩豬 柚果香氛柚果香氛,沐浴乳
16235,博寶兒佩佩豬植萃洗髮沐浴露二合一 艾草香氛,沐浴乳
16236,博寶兒植萃洗髮沐浴露,沐浴乳
16237,博寶兒植萃洗髮沐浴露佩佩豬,沐浴乳
16238,貝恩甜心三效洗髮沐浴乳,沐浴乳
16239,baan貝恩嬰兒沙棘洗髮沐浴露,沐浴乳
16240,ec 嬰兒洗髮沐浴精,沐浴乳
16241,chicco嬰兒洗髮沐浴露,沐浴乳
16242,台塑生醫drs formula 嬰幼童洗髮沐浴精 ,沐浴乳
16243,nac nac 保濕泡泡洗髮沐浴慕斯,沐浴乳
16244,屈臣氏fun心玩兒童洗髮沐浴精,沐浴乳
16245,fees 法緻嬰兒柔護洗髮沐浴精棉花,沐浴乳
16246,chicco寶貝嬰兒洗髮沐浴露,沐浴乳
16247,nac nac  保濕泡泡二合一洗髮沐浴慕斯,沐浴乳
16248,德國 baan 貝恩 嬰兒沙棘洗髮沐浴露,沐浴乳
16249,grahams 珂然嬰兒洗髮沐浴露洗髮沐浴,沐浴乳
16250,博寶兒植萃洗髮沐浴露柚果香氛,沐浴乳
16251,sanosan寶寶洗髮沐浴露限量組,沐浴乳
16252,博寶兒 植萃洗髮沐浴露二合一 佩佩豬,沐浴乳
16253,baan 貝恩 童趣系列洗髮沐浴乳 清新雙效甜心三效甜蜜家族,沐浴乳
16254,chicco寶貝嬰兒洗髮沐浴露溫和,沐浴乳
16255,chicco寶貝嬰兒洗髮沐浴露初生寶寶專用,沐浴乳
16256,博寶兒佩佩豬植萃洗髮沐浴露二合一 柚果香氛,沐浴乳
16257,博寶兒植萃洗髮沐浴露佩佩豬,沐浴乳
16258,博寶兒植萃洗髮沐浴露柚果香氛愛買,沐浴乳
16259,貝恩清新雙效洗髮沐浴乳,沐浴乳
16260,嬌生嬰兒洗髮沐浴露全新升級,沐浴乳
16261,baan甜心三效洗髮沐浴乳3in1,沐浴乳
16262,嬌生嬰兒洗髮沐浴露,沐浴乳
16263,johnsons 嬌生嬰兒洗髮沐浴露 全新升級嬰兒沐浴,沐浴乳
16264,sanosanbaby 洗髮沐浴露限量量販組  ,沐浴乳
16265,chicco寶貝嬰兒洗髮沐浴露,沐浴乳
16266,nac nac保濕泡泡洗髮沐浴慕斯,沐浴乳
16267,sanosanbaby敏肌洗髮沐浴露,沐浴乳
16268,艾惟諾嬰兒沐浴洗髮,沐浴乳
16269,博寶兒植萃低敏洗髮沐浴露佩佩豬,沐浴乳
16270, 特惠秒出aveeno 艾惟諾 天然燕麥 寶寶洗髮沐浴乳  無香異敏,沐浴乳
16271, 愛吾兒貝恩 baan 甜心三效洗髮沐浴乳,沐浴乳
16272,chicco溫和洗髮沐浴露,沐浴乳
16273,h嬌生嬰兒洗髮沐浴露,沐浴乳
16274,fees法緻嬰兒柔護洗髮沐浴精香蘋 不流淚配方,沐浴乳
16275,德國sanosan珊諾天然清新香洗髮沐浴露,沐浴乳
16276,博寶兒植萃洗髮沐浴露 艾草,沐浴乳
16277,fees法緻 嬰兒柔護洗髮沐浴精 棉花香蘋果香,沐浴乳
16278,baan 貝恩 沙棘洗髮沐浴露 ,沐浴乳
16779,台灣好農好農產銷履歷濃豆奶黃豆無糖黑豆無糖共兩箱豆奶豆漿濃豆奶,豆漿
16788,台灣好農台灣產產銷履歷綜合黃豆奶黑豆奶無糖組豆奶豆漿,豆漿
16790,台灣好農台灣產產銷履歷黃豆奶無糖組豆奶豆漿,豆漿
16793,台灣好農台灣產產銷履歷綜合黃豆奶黑豆奶微糖組豆奶豆漿,豆漿
16797,台灣好農台灣產產銷履歷綜合黃豆奶黑豆奶無糖組豆奶豆漿,豆漿
19163,露得清 深層卸妝乳 卸妝水 卸妝液,卸妝乳
19849,咪咪花王 biore蜜妮深層卸妝乳 蜜妮卸妝乳 biore卸妝乳 蜜妮卸妝棉 卸妝油 卸妝水,卸妝乳
20428,義大利 giarettibarista c3全自動義式咖啡機gi8530日本pecobono健康油切氣炸鍋大容量美型,咖啡機
23431,l’occitane 歐舒丹前導雙星組光萃肌活露星光瓶亮眼修護露蠟菊精華霜,前導精華
23432,香奈兒山茶花保濕微導入精華液,前導精華
23433,香奈兒山茶花保濕微導入精華液,前導精華
23434,香奈兒山茶花保濕微導入精華液,前導精華
23435,target pro 保濕肌活導入精華液,前導精華
23436,collagen 活妍肌密緊緻導入精華,前導精華
23437,山茶花保濕導入精華液,前導精華
23438,freeplus 柔膚保濕前導精華液,前導精華
23439,belif年終回饋含生草保濕前導精華,前導精華
23440,ga024前導精華液,前導精華
23441,jerosse 婕樂纖雪聚露雙效導入精華雙層活化,前導精華
27864,藍瓶 綠瓶 深層抗菌 ariel 50倍抗菌 超濃縮   pg bold 洗衣精 柔軟精 寶僑,洗衣精
27865,妙管家超值補充包 共 八款洗衣精柔軟精彩色漂白水,洗衣精
27866,uyeki防蹣抗菌抗敏洗衣添加液洗衣精柔軟精,洗衣精
27867,妙管家洗衣精柔軟精,洗衣精
27868,日本 pg 碧浪 ariel bold 除臭 抗菌 室內曬乾  珍珠植物 白色 洗衣精 柔軟精,洗衣精
31022,swissvita 薇佳 微晶3d全能洗顏霜 速效抗痘調理潔面乳 全能眼霜 全能淡斑精華 vb vitabtech升級版,洗面乳
34533,康寶濃湯熱銷濃湯組狂送clear洗髮露質感隨行杯熊寶貝濕紙巾白蘭洗衣球,洗髮精
34830,gaga 洗護旅行組洗髮精髮油面膜髮油面膜隨機,洗髮精
39401,absny柔滑眉粉修容盒黑灰色,修容
39402,abs柔滑眉粉修容盒咖啡色,修容
39405,庶務客 romand romand 修容粉餅 better than shape 打亮粉餅 修容 打亮 粉餅 修容餅,修容
39410,小蘑菇氣墊bb霜 水感修飾妝容 美化均勻膚色 修容bb霜  粉底液 cc霜  保濕遮蓋瑕疵 提亮膚色nailsmall,BB霜
39492,台灣發貨保證水光鏡面玻璃唇釉 染唇液 丝绒唇彩唇釉 不沾杯不脱色 持久 保濕 防水,唇彩
39493,台灣天天寄枕邊玩物蘿莉詩冰淇淋唇蜜 染唇液 啞光唇彩 口紅 不掉色 冰淇淋唇乳 唇釉t615160,唇彩
39494,微紫嚴選romand 零感絲絨霧面唇釉 零色差 霧面唇釉 唇釉 啞光唇釉 絲絨唇釉 絕對 唇彩,唇彩
39495,庶務客 innisfree 霧面奶油絲絨唇釉 花漾綿蜜唇萃 vivid cotton ink 唇釉 唇蜜 唇彩,唇彩
39496,搬運工韓服秋冬新色霧感唇釉 romand  霧面唇釉 韓國 半霧面 唇釉 唇彩 口紅 唇膏 霧感 唇釉 奶茶系列,唇彩
39497,韓國 peripera 空氣絲絨唇釉  霧面 唇彩 唇釉,唇彩
39498,庶務客 romand 格殺霧論 羅美 零感唇膏 奶油唇膏 絲絨唇膏 絕對零感霧面唇膏 唇釉 唇彩 口紅,唇彩
39499,庶務客 romnd 格殺霧論 羅美 零感唇膏 奶油唇膏 絲絨唇膏 絕對零感霧面唇膏 唇釉 唇彩 口紅,唇彩
41014,搬運工unleashia 星光閃耀水潤持色唇釉 口紅 唇彩 唇膏 唇蜜 韓國 星光水潤 持色唇釉,唇膏
41019,la defonse 黎得芳黎得芳 橙花純露可樂果 佰草豐潤裸妝護唇蜜 潤色 變色 保濕 唇膏,唇膏
41117,nivea 妮維雅霜 護手霜 保濕 防乾燥 乳液 乳霜 唇膏 保養 護膚霜 乳膏 台灣公司附發票 urs,護手霜
46069,恩特萬1安全包膠啞鈴小孔包膠啞鈴片 槓片 啞鈴桿 啞鈴連接桿,槓片
50055,sony 索尼ps5 光碟版主機ps4 漫威蜘蛛人55型顯示器km55000h,電視遊戲機
50726,新品上市  全網最低價 韓國unleashia  鑽石眼影 潤唇膏 眼影棒 pony愛用 限量10名 折扣滿,眼影筆
51445,profusion 眼影腮紅盤  珊瑚蜜桃,腮紅
51446,profusion 眼影腮紅盤  漾心櫻粉,腮紅
51447,profusion 35色眼影腮紅盤 絲絨暮光,腮紅
51448,profusion 35色眼影腮紅盤  沙漠幻景,腮紅
51449,profusion 炫彩玩色珠寶盒眼影腮紅箱購,腮紅
51727,etude house 夜店公主長效眼線液  台灣 小麥購物s080 眼線膠 眼線液,眼線液
51863,kate 凱婷眼線液筆  眼線膠筆經典組,眼線液筆
51864,微紫嚴選etude house 夜店公主長效眼線液 oh my eye 夜店公主 眼線 眼線液 眼線筆 眼線膠,眼線液
55673,愛之味 燕麥系列 小麥購物台灣a266純濃燕麥 牛奶燕麥 燕麥 鋁箔包 麥片 飲品 飲料,麥片穀類
62508,日本原裝dhc綜合維他命b群可加購維他命c維生素b膠原蛋白薏仁精華維生素c修修素椰子油葉黃素蔓越莓鋅,維他命B+C
62509,日本製 dhc 維他命 b c e 綜合維他命 葉黃素 椰子油 薏仁精華 膠原蛋白 蜂皇漿 藤黃果 葉酸 礦物質 馬卡,維他命B+C
66842,haier海爾 迷你多功能電子鍋電鍋煮飯鍋 hks100w 白  hks100c 可可,電子鍋
70610,bonnie house尤加利精油森林淨氧隨身賞香儀,香氛機
72227,永信藥品高單位葉黃素健康優見b群週期購,葉黃素
72228,健康好朋友 永信藥品 健康優見 升級版葉黃素軟膠囊 金盞花萃取物活力b群升級版 入,葉黃素
72233,永信藥品健康優見上班族必備組b群高單位葉黃素,葉黃素
72234,aahp全健護 金盞花游離葉黃素膠囊  全方位營養補給 維他命b群c山桑子蝦紅素,葉黃素
72235,dhc維他命b群綜合維他命c維他命e葉黃素甲殼素亞鉛鋅薏仁膠原蛋白椰子油蔓越莓公鐵卵磷脂藍莓精華dha魚油葉酸鈣鎂修修素,維他命B+C
72236,dhc保健食品系列 綜合維他命維他命b群維他命c黃香草木乳酸菌薑黃葉黃素q10薏仁精華find新鮮貨,維他命B+C
72554,亞毛小舖電子發票dhc維他命b 維他命c 葉酸 公鐵 濃縮薑黃 分,維他命B+C
72555,當日 還我漂漂組 維生素c q10 茄紅素 維生素e 膠原蛋白 美國 swanson 原裝,維他命C
72556,neocell妮兒 膠原c錠維他命c ,維他命C
72557,neocell妮兒膠原c錠 台灣唯一總代理 美國第一大膠原蛋白 含維他命c,維他命C
72558,附發票 韓國 lemona 膠原蛋白維他命c粉 60小包 圓罐,維他命C
72559,nutriplus 活沛多膠原蛋白維他命c,維他命C
72560,日本味王蔓越莓口含錠升級版蔓越莓膠原蛋白維他命c,維他命C
72561,活沛多膠原蛋白維他命c,維他命C
73182,meilin 清透蜜粉meilin 全方位三色遮瑕膏網,蜜粉
73183,rmk江戶透光底妝優惠組bb霜蜜粉手拿鏡,蜜粉
74087,kao 花王暢銷洗髮精潤髮乳,洗髮精
74088,花王 洗髮精 潤髮乳  多款 清新沁涼 順滑 溫和柔潤,洗髮精
74089,kao 花王暢銷洗髮精潤髮乳款式,洗髮精
74090,kao 花王無矽靈 植萃弱酸頭皮調理洗髮精潤髮乳 共可選,洗髮精
74092,日本 熊野 沙龍級 胺基酸 修護型 洗髮乳 潤髮乳 護髮乳 護髮噴霧    無矽靈 雷老闆,洗髮精
74093,la sana 潤紗娜海藻海泥洗髮乳海藻海泥潤髮乳海藻菁萃護髮露,洗髮精
74094,時時樂限定施華蔻 胺基酸多效修護多效修護洗髮乳多效修護潤髮乳多效修護髮膜贈金緻潤澤,洗髮精
74097,多芬 深層修護洗髮乳小麥購物台灣s211洗髮乳 潤髮乳 護髮 潤髮 護髮乳  dove,洗髮精
74100,schwarzkopf 施華蔻gliss極致精油修護組洗髮乳潤髮乳gliss極致滋潤修護髮油 ,洗髮精
74103,美國箭牌馬 潤絲精護髮素無矽靈,護髮乳
74104, tsaio 上山採藥 燕麥護色金盞花養髮山茶花護髮洗髮乳潤髮乳 bg,洗髮精
74105,hair recipe洗護生薑蘋果洗髮露奇異果清爽 蜂蜜保濕洗髮露護髮潤髮精華素水果養髮防斷修護,洗髮精
74106,tsaio 上山採藥 燕麥護色金盞花養髮山茶花護髮洗髮乳潤髮乳 bg shop可選,洗髮精
74107,美國箭牌馬潤絲精護髮素無矽靈,護髮乳
74430,mihong 136蔬果b群 膠原蛋白x 多件優惠組,膠原蛋白
74431, 台灣附發票日本dhc 膠原蛋白  維他命 b群 c群 綜,膠原蛋白
76516,國農草莓牛乳,調味牛乳
76517,國農巧克力牛乳,調味牛乳
76518,國農巧克力調味牛乳,調味牛乳
76519,國農果汁牛乳,調味牛乳
76716,微紫嚴選the saem tip concealer 完美遮瑕液 遮瑕膏 遮瑕液 遮瑕筆 遮瑕,遮瑕膏
76717,台灣天天寄枕邊玩物韓汝空氣遮瑕官方液膏乳持久修容遮蓋斑點黑眼圈痘痘不脫妝 遮瑕 遮瑕膏  保濕 160,遮瑕膏
76718,庶務客 luna 遮瑕膏 遮瑕液 黑眼圈 痘疤 雀斑遮瑕 遮瑕 luna遮瑕膏,遮瑕膏
76719,the saem 完美遮瑕液 遮瑕膏 遮瑕 正品,遮瑕膏
76720,韓國 the saem 完美遮瑕膏 tip concealer 遮瑕液  dt store,遮瑕膏
76721,搬運工 clio遮瑕膏 killcover遮瑕膏 新款超保濕遮瑕膏  遮瑕液 黑眼圈 雀斑 斑點 修容 遮瑕,遮瑕膏
83010,kose 玻尿酸透潤美白系列 化粧水 乳液 乳霜 美容液 乳液 保濕,乳霜
83012,atopiclair愛妥麗保濕敷料cream乳霜×1  lotion乳液×,乳霜
83014,美納里尼愛妥麗保濕敷料 cream乳霜lotion乳液不含類固醇 舒緩受損皮膚,乳霜
83015,契爾氏 冰河醣蛋白保濕霜   蛋白霜 kiehls 乳霜 乳液 空氣感水乳霜 kiehls,乳霜
91524,drforhair頭皮豐盈洗髮乳頭皮護理豐盈髮膜贈豐盈洗髮乳0網,洗髮精
91525,hair recipe奇異果清爽洗髮露髮膜套組,洗髮精
91527,vs 沙宣洗護護色亮澤洗髮露護色亮澤護髮精華素,洗髮精
91529,hair recipe限量禮盒黑莓梨香洗髮露生薑蘋果洗髮生薑蘋果護髮潤髮蜂蜜護髮聖誕禮物,洗髮精
91530,pantene 潘婷miracles奇蹟系列 煥活根源洗髮露護髮精華素洗潤,洗髮精
91531,hair recipe洗護2營養洗髮露護髮精華素生薑蘋果奇異果清爽蜂蜜保濕,洗髮精
91532,hair recipe 洗髮露護髮精華素小三美日d,洗髮精
91533,schwarzkopf 施華蔻水感保濕玻尿酸系列 洗髮露髮霜髮膜 附專用壓頭,洗髮精
91534,hair recipe限量禮盒黑莓梨香洗髮露生薑蘋果洗髮生薑蘋果護髮潤髮蜂蜜護髮,洗髮精
91535,多芬 雙子星限定組洗髮乳一分鐘護髮精華 深層修護輕潤保濕 即期良品月到期,洗髮精
91536, dove 多芬 蜂蜜柔亮洗髮乳 安瓶護髮油 ,洗髮精
91537,hair recipe奇異果洗髮露髮膜套組,洗髮精
91539,hair recipe洗護1營養洗髮露護髮精華素生薑蘋果奇異果清爽蜂蜜保濕,洗髮精
91541,loreal萊雅 絲漾博護色大容量洗髮乳髮膜原絕色漾彩,洗髮精
91543,pantene 潘婷青春露防斷護色禮盒柔亮護色洗髮露護髮精華素潤髮記憶髮膜聖誕禮物,洗髮精
91545,hairrecipe奇異果洗髮露髮膜,洗髮精
91546,hair recipe 生薑蘋果洗髮露蜂蜜高濃度營養修護髮膜,洗髮精
91547,hair recipe 洗護組生薑蘋果洗髮露蜂蜜高濃度營養修護髮膜,洗髮精
91548,hair recipe生薑蘋果防斷滋養洗髮露蜂蜜高濃度營養修護髮膜康是美,洗髮精
91552,schwarzkopf 施華蔻晶燦鎖色ph45系列 洗髮露髮霜髮膜 附專用壓頭,洗髮精
91553,hair recipe 奇異果清爽營養洗髮露 蜂蜜保濕營養洗髮露 蜂蜜高濃度營養修護髮膜,洗髮精
91554,飛柔三合一護髮洗髮乳1,洗髮精
91556,花王curel洗髮護髮組,洗髮精
91670,vichy 薇姿 極效水感bb霜  妝前 潤色隔離 官方旗艦店,BB霜
91671,kate 凱婷 零瑕肌密bb霜 持效飾底霜 ,BB霜
91672,保證bb霜 隔離修容bb美顏霜 粉底液 遮瑕 修容,BB霜
91673,庶務客 pony effect 遮瑕氣墊粉餅 粉底 神防護 氣墊 bb霜 氣墊粉餅,粉餅
91736,kose 高絲雪肌精透亮煥白cc霜雪肌精淨透潔顏油n 正統公司貨,CC霜
91737,drcink 達特聖克女神絲絨柔焦組cc霜花蜜露潔面露,CC霜
91739,freshel 膚蕊 美肌淨透bb霜 cc霜,BB霜
