,brand_ch,brand_en,cleaned_brand,sim_ch,repeat
1162,儷康絲,nioxin,nioxin儷康絲,[],0
1163,城野醫生,dr.ci:labo,dr.ci:labo城野醫生,[],0
1164,丹霓珂,dr. organic,dr. organic丹霓珂,[],0
1165,大眼蛙,dooby,dooby大眼蛙,[],0
1166,優綺麗,u jelly,u jelly優綺麗,[],0
1167,草本體驗,true tisane,true tisane草本體驗,[],0
1168,丹比,danby,danby丹比,[],0
1169,小泉成器,koizumi,koizumi小泉成器,[],0
1170,翰欣,trendsonic,trendsonic翰欣,[],0
1171,米膚,reise,reise米膚,[],0
1172,香吉士,sunkist,sunkist香吉士,[],0
1173,精英,ecs,ecs精英,[],0
1174,葛利德,glysolid,glysolid葛利德,[],0
1175,星品牌,befit,befit星品牌,[],0
1176, 居家,g+,g+ 居家,[],0
1177,立髮健,revivogen,revivogen立髮健,[],0
1178,百慕達,balmuda,balmuda百慕達,[],0
1179,創世紀,montech,montech創世紀,[],0
1180,自然鮮,natural fresh,natural fresh自然鮮,[],0
1181,優沛蕾,yoplait,yoplait優沛蕾,[],0
1182,艾克博士,dr. aik,dr. aik艾克博士,"[('艾克博士', 100)]",0
1183,美樂思,mediplus,mediplus美樂思,[],0
1184,御木本,mikimoto,mikimoto御木本,[],0
1185,快睿,cryorig,cryorig快睿,[],0
1186,萊卡,laica,laica萊卡,[],0
1187,小小,petit,petit小小,[],0
1188,川越,wieden,wieden川越,[],0
1189,康善秀,consensus,consensus康善秀,[],0
1190,高島,takashima,takashima高島,[],0
1191,浩客,hawk,hawk浩客,[],0
1192,卡汶克萊,carvin kolai,carvin kolai卡汶克萊,"[('卡汶克萊', 100)]",0
1193,默墨咖啡,more cafe,more cafe默墨咖啡,[],0
1194,博多,marutai,marutai博多,[],0
1195,哈維博士,dr.harvey,dr.harvey哈維博士,[],0
1196,卡尼爾,garnier,garnier卡尼爾,[],0
1197,威寶,kaiser,kaiser威寶,"[('威寶', 100)]",0
1198,凱馳,karcher,karcher凱馳,[],0
1199,詩帆島,sven's island,sven's island詩帆島,[],0
1200,艾詩,enchanteur,enchanteur艾詩,"[('艾詩', 100)]",0
1201,日本,iris ohyama,iris ohyama日本,[],1
1202,新普利,simply,simply新普利,"[('新普利', 100)]",0
1203,拉拉熊,rilakkuma,rilakkuma拉拉熊,[],0
1204,聖克萊爾,st.clare,st.clare聖克萊爾,[],1
1205,貝喜力,basilic,basilic貝喜力,[],0
1206,利百代,liberty,liberty利百代,"[('利百代', 100)]",0
1207,小瑞士花園,s’siwiss,s’siwiss小瑞士花園,[],0
1208,普騰,proton,proton普騰,[],0
1209,古希歐,cuccio,cuccio古希歐,[],0
1210,莉薇特麗,revital,revital莉薇特麗,"[('莉薇特麗', 100)]",0
1211,特力屋,hola,hola特力屋,"[('特力屋', 100)]",0
1212,樂格,log,log樂格,[],0
1213,陪心寵糧,nu4pet,nu4pet陪心寵糧,[],0
1214,渴達,tundra,tundra渴達,[],0
1215,御皇居,royal,royal御皇居,"[('御皇居', 100)]",0
1216,百貓喜,best feline friend,best feline friend百貓喜,[],0
